origin_iso3,hs4,partner_iso3,destination_gnn_logit,destination_gnn_score,supply_gnn_logit,supply_gnn_score,market_data_available,destination_import_value,destination_import_growth,market_concentration,competitor_count,mkd_existing_export_value,mkd_historical_export_value,mkd_bilateral_trade,gravity_data_available,distance,contiguous,common_language,fta,macro_data_available,destination_gdp,destination_gdp_pc,destination_population,mkd_supply_capacity,mkd_supply_growth,tariff_data_available,tariff_rate,section,score,rank,ranking_score,predicted_probability,probability_lower,probability_upper,average_rank,rank_std,rank_stability,ensemble_score,ensemble_rank,ensemble_method
MKD,2710,ITA,0.596770,0.644917,0.353819,0.587543,1.000000,10004077154.527000,0.126043,0.080975,82.000000,4931.820000,67301.100000,2309068098.890000,1.000000,742.000000,0.000000,0.000000,1.000000,1.000000,2099435266458.669922,35062.336418,59877221.000000,50146037.000000,0.172433,0.000000,0.000000,27,0.853081,49,20.066419,0.853081,0.000200,1.000000,2953.666667,10994.420106,0.000091,0.853081,49,validation_pairwise_bootstrap
MKD,8507,NLD,0.504914,0.623613,0.305049,0.575676,1.000000,1621696997.763000,0.177312,0.156081,169.000000,73268.190000,263527.070000,672982275.210000,1.000000,1696.000000,0.000000,0.000000,1.000000,1.000000,929733599796.862061,53955.077002,17231624.000000,87953561.000000,0.365410,0.000000,0.000000,85,0.861445,50,20.050332,0.861445,0.000430,1.000000,2980.190476,9996.086666,0.000100,0.861445,50,validation_pairwise_bootstrap
MKD,7216,ITA,0.590877,0.643566,0.342464,0.584789,1.000000,273543857.760000,0.078910,0.205024,46.000000,54198.580000,301060.900000,2309068098.890000,1.000000,742.000000,0.000000,0.000000,1.000000,1.000000,2099435266458.669922,35062.336418,59877221.000000,16231379.000000,0.163704,0.000000,0.000000,72,0.855613,51,20.045314,0.855613,0.000210,1.000000,3148.476190,11997.946362,0.000083,0.855613,51,validation_pairwise_bootstrap
MKD,3815,NLD,0.486255,0.619224,0.284319,0.570605,1.000000,382734150.616000,0.061959,0.245170,136.000000,1073.900000,1073.900000,672982275.210000,1.000000,1696.000000,0.000000,0.000000,1.000000,1.000000,929733599796.862061,53955.077002,17231624.000000,1218848015.000000,1.127857,0.000000,0.000000,38,0.854766,52,20.028317,0.854766,0.000064,1.000000,3958.761905,9909.463725,0.000101,0.854766,52,validation_pairwise_bootstrap
MKD,2619,AUT,0.521728,0.627552,0.324198,0.580347,1.000000,213730914.836000,1.665928,0.934475,15.000000,0.000000,0.000000,808395699.970000,1.000000,796.000000,0.000000,0.000000,1.000000,1.000000,452582294972.775024,51194.074984,8840521.000000,1004706.000000,0.113928,0.000000,0.000000,26,0.871471,53,20.019831,0.871471,0.001283,1.000000,3934.619048,11388.525188,0.000088,0.871471,53,validation_pairwise_bootstrap
MKD,2202,ITA,0.613360,0.648707,0.373665,0.592344,1.000000,290364897.699000,0.050825,0.153741,75.000000,25065.940000,107278.240000,2309068098.890000,1.000000,742.000000,0.000000,0.000000,1.000000,1.000000,2099435266458.669922,35062.336418,59877221.000000,9591530.000000,0.195229,0.000000,0.000000,22,0.848391,54,20.015618,0.848391,0.000108,1.000000,3005.095238,11194.863690,0.000089,0.848391,54,validation_pairwise_bootstrap
MKD,3815,CHN,0.525016,0.628320,0.284319,0.570605,1.000000,1985534081.000000,0.105990,0.256998,62.000000,7604.100000,7604.100000,2065915196.610000,1.000000,8507.000000,0.000000,0.000000,0.000000,1.000000,14147765772963.800781,10085.663815,1402760000.000000,1218848015.000000,1.127857,0.000000,0.000000,38,0.853489,55,20.004639,0.853489,0.000078,1.000000,4328.428571,9414.509797,0.000106,0.853489,55,validation_pairwise_bootstrap
MKD,8606,SRB,0.432018,0.606355,0.318375,0.578928,1.000000,963077.000000,3.174371,0.351642,6.000000,0.000000,0.000000,3684071029.560000,1.000000,323.000000,1.000000,0.000000,0.000000,1.000000,52787520248.924202,7559.861657,6982604.000000,0.000000,0.000000,0.000000,0.000000,86,0.894476,56,19.981651,0.894476,0.190221,1.000000,5817.714286,13001.383718,0.000077,0.894476,56,validation_pairwise_bootstrap
MKD,4808,POL,0.542440,0.632380,0.332375,0.582337,1.000000,72509256.000000,0.298625,0.272518,43.000000,67436.930000,67436.930000,804102734.300000,1.000000,1138.000000,0.000000,0.000000,1.000000,1.000000,594616632477.019043,15658.210587,37974750.000000,2448299.000000,0.510565,0.000000,0.000000,48,0.851963,57,19.977629,0.851963,0.000283,1.000000,2905.904762,9836.793510,0.000102,0.851963,57,validation_pairwise_bootstrap
MKD,8532,ITA,0.530214,0.629533,0.289612,0.571901,1.000000,231767410.430000,0.065938,0.158851,77.000000,86270.550000,117413.040000,2309068098.890000,1.000000,742.000000,0.000000,0.000000,1.000000,1.000000,2099435266458.669922,35062.336418,59877221.000000,12879480.000000,0.531189,0.000000,0.000000,85,0.864060,58,19.968682,0.864060,0.000355,1.000000,3634.666667,11991.329154,0.000083,0.864060,58,validation_pairwise_bootstrap
