hs4,gnn_logit,gnn_score,score,density,pci,cog,complexity_gain,section,rank,global_demand_value,global_demand_growth,global_market_concentration,historical_active_years,historical_export_persistence,supply_capacity,gnn_logit_percentile,gnn_score_percentile,density_percentile,pci_percentile,cog_percentile,global_demand_value_percentile,global_demand_growth_percentile,supply_capacity_percentile,adamic_adar,jaccard,cn,pref_attach,ranking_score,predicted_probability,probability_lower,probability_upper,average_rank,rank_std,rank_stability,ensemble_score,ensemble_rank,ensemble_method
5811,0.309489,0.576761,0.019918,0.152950,1.270712,0.556482,,58,51,223024931.000000,-0.107090,0.091224,10.000000,7.000000,3441565,0.557672,0.557672,0.829630,0.482540,0.486772,0.104762,0.030688,0.304233,,,,,-249.184457,0.019918,0.018220,0.021056,52.809524,10.205596,0.089241,0.019918,51,validation_pairwise_bootstrap
3805,0.311427,0.577233,0.019944,0.133514,0.142947,0.166998,,38,52,379077058.000000,0.147864,0.101421,6.000000,6.000000,1221685981,0.605291,0.605291,0.653968,0.262434,0.219048,0.159788,0.982011,0.989947,0.000000,0.000000,0.000000,82563.000000,-249.185152,0.019944,0.018676,0.021649,52.571429,10.399503,0.087723,0.019944,52,validation_pairwise_bootstrap
0805,0.313537,0.577748,0.019782,0.181640,-1.680763,-0.233678,,08,53,13434517456.000000,0.032672,0.097840,19.000000,19.000000,50975565,0.648677,0.648677,0.970370,0.082540,0.052910,0.796825,0.764021,0.707407,,,,,-249.200552,0.019782,0.017988,0.021727,54.761905,14.279205,0.065448,0.019782,53,validation_pairwise_bootstrap
8715,0.285405,0.570871,0.019722,0.120700,2.356669,0.773353,,87,54,2164131462.000000,0.017157,0.374970,13.000000,8.000000,728141292,0.110053,0.110053,0.504762,0.736508,0.668783,0.464550,0.621164,0.929630,,,,,-249.202290,0.019722,0.017592,0.021563,55.238095,15.215608,0.061669,0.019722,54,validation_pairwise_bootstrap
8503,0.313961,0.577852,0.019758,0.157066,1.499176,0.652762,,85,55,17733162125.000000,0.002158,0.094152,19.000000,19.000000,869392763,0.656085,0.656085,0.853968,0.526984,0.564021,0.839153,0.448677,0.957672,,,,,-249.217505,0.019758,0.018351,0.021267,54.714286,8.778452,0.102266,0.019758,55,validation_pairwise_bootstrap
7612,0.330253,0.581821,0.019539,0.165217,1.201486,0.375937,,76,56,4738353553.000000,0.005455,0.038377,19.000000,19.000000,16664888,0.875132,0.875132,0.903704,0.468783,0.347090,0.609524,0.489947,0.613228,,,,,-249.246802,0.019539,0.018284,0.021089,57.523810,10.545227,0.086616,0.019539,56,validation_pairwise_bootstrap
6803,0.285006,0.570773,0.018955,0.121882,0.240361,0.240368,,68,57,545220386.000000,-0.038022,0.306590,9.000000,5.000000,27478137,0.103704,0.103704,0.521693,0.278307,0.259259,0.197884,0.183069,0.695767,,,,,-249.276876,0.018955,0.015899,0.021036,64.904762,23.520821,0.040782,0.018955,57,validation_pairwise_bootstrap
6903,0.280621,0.569698,0.018826,0.119686,2.841961,1.093739,,69,58,2028835340.000000,0.002218,0.082972,19.000000,19.000000,15119334,0.056085,0.056085,0.491005,0.821164,0.910053,0.446561,0.450794,0.580952,,,,,-249.309551,0.018826,0.016912,0.020393,66.047619,20.020171,0.047573,0.018826,58,validation_pairwise_bootstrap
8459,0.300665,0.574605,0.018872,0.122208,2.755555,1.002717,,84,59,3504641678.000000,-0.044172,0.099557,19.000000,19.000000,686694105,0.351323,0.351323,0.525926,0.809524,0.853968,0.547090,0.154497,0.879894,,,,,-249.312004,0.018872,0.016966,0.020482,65.428571,15.897204,0.059181,0.018872,59,validation_pairwise_bootstrap
4803,0.325850,0.580749,0.018724,0.177162,0.170714,0.147735,,48,60,4095417638.000000,0.038545,0.060488,16.000000,9.000000,18391038,0.827513,0.827513,0.955556,0.265608,0.203175,0.572487,0.802116,0.629101,,,,,-249.319060,0.018724,0.014843,0.020891,68.476190,22.767184,0.042075,0.018724,60,validation_pairwise_bootstrap
6907,0.297475,0.573825,0.018718,0.142535,0.805147,0.321017,,69,61,6918708462.000000,0.019990,0.202709,15.000000,10.000000,15119334,0.291005,0.291005,0.746032,0.374603,0.303704,0.685714,0.656085,0.580952,,,,,-249.325570,0.018718,0.016689,0.020814,67.761905,18.667274,0.050846,0.018718,61,validation_pairwise_bootstrap
